node,type,label,degree_centrality,betweenness_centrality,community
ENPH,company,"Enphase Energy, Inc.",0.009603841536614645,0.0027097377412503465,
EOG,company,"EOG Resources, Inc.",0.015606242496998799,0.003076230492196879,
EPAM,company,"EPAM Systems, Inc.",0.009603841536614645,0.001217794810231785,
EQIX,company,"Equinix, Inc.",0.02040816326530612,0.0008022439745128821,
EQR,company,Equity Residential,0.013205282112845136,0.000415550835718903,
EQT,company,EQT Corporation,0.014405762304921969,0.0017805199002677995,
ERIE,company,Erie Indemnity Company,0.0012004801920768306,0.0,
ES,company,Eversource Energy,0.013205282112845136,0.0009032459137501155,
ESS,company,"Essex Property Trust, Inc.",0.012004801920768306,0.0007416428109705421,
ETN,company,Eaton Corporation plc,0.010804321728691476,0.001059077477144704,
ETR,company,Entergy Corporation,0.007202881152460984,0.0013649690645488966,
EVRG,company,"Evergy, Inc.",0.009603841536614645,0.0006002400960384154,
EW,company,Edwards Lifesciences Corporation,0.010804321728691476,0.0009090174531351002,
EXC,company,Exelon Corporation,0.006002400960384153,0.0,
EXE,company,Expand Energy Corporation,0.015606242496998799,0.0016362314156431804,
EXPE,company,"Expedia Group, Inc.",0.01680672268907563,0.002926170468187275,
EXR,company,Extra Space Storage Inc.,0.015606242496998799,0.006487210268722874,
F,company,Ford Motor Company,0.009603841536614645,0.003445609012835904,
FANG,company,"Diamondback Energy, Inc.",0.013205282112845136,0.0011889371133068612,
FAST,company,Fastenal Company,0.008403361344537815,0.0004674946901837658,
FCX,company,Freeport-McMoRan Inc.,0.004801920768307323,0.0038236448425524056,
FDS,company,FactSet Research Systems Inc.,0.009603841536614645,0.0006983562655831564,
FDX,company,FedEx Corporation,0.009603841536614645,0.0020748684089020226,
FE,company,FirstEnergy Corp.,0.006002400960384153,0.0004068935266414258,
FFIV,company,"F5, Inc.",0.009603841536614645,0.0007705005078954659,
FI,company,"Fiserv, Inc.",0.009603841536614645,0.000756071659433004,
FICO,company,Fair Isaac Corporation,0.012004801920768306,0.002357673838766276,
FIS,company,"Fidelity National Information Services, Inc.",0.015606242496998799,0.004926008865084495,
FITB,company,Fifth Third Bancorp,0.013205282112845136,0.0014486563856311756,
FOXA,company,Fox Corporation,0.006002400960384153,0.0012293378890017546,
FRT,company,Federal Realty Investment Trust,0.01680672268907563,0.000681041647428202,
FSLR,company,"First Solar, Inc.",0.009603841536614645,0.0015467725551759166,
FTNT,company,"Fortinet, Inc.",0.010804321728691476,0.012607927786499216,
FTV,company,Fortive Corporation,0.009603841536614645,5.771539384984763e-05,
GD,company,General Dynamics Corporation,0.015606242496998799,0.0035206390248407058,
GDDY,company,GoDaddy Inc.,0.012004801920768306,0.0024009603841536617,
GE,company,General Electric Company,0.008403361344537815,0.006617069904885031,
GEHC,company,GE HealthCare Technologies Inc.,0.014405762304921969,0.005901399021146921,
GEN,company,Gen Digital Inc.,0.008403361344537815,0.00035206390248407056,
GEV,company,GE Vernova Inc.,0.02040816326530612,0.006836388401514452,
